Site,Grantor,Deed_Date,Liber_Folio,Acreage,Map,use type,Date_Built_Accepted,Building

































































































































































































































































,The Redemptorists,12/29/72,621/675
,"Clark, John l.",12/31/64,455/187
,"Shipley, Frank E., Treasurer",2/28/44,180/524
,"Shipley, Frank E., Treasurer",5/11/43,178/08
,"Shipley, Frank E., Treasurer",5/11/43,178/011
,"Union Chapel Road, LLC",5/2/08,11274/351
,Toll MD Limited Partnership,10/22/02,6614/343
,State Highway Administration,5/3/00,5641/643
,State of Maryland Department of Forest and Parks,11/1/84,1326/275
,State of Maryland Department of Forest & Parks,11/1/84,1326/275
,"Tartan Development of Maryland, Inc.",10/25/85,1447/191
,"Tartan Development of Maryland, Inc.",10/25/85,1486/514
,"Tartan Development of Maryland, Inc.",10/25/85,1486/514
,"Tartan Development of Maryland, Inc.",10/25/85,1486/514
,"Tartan Development of Maryland, Inc.",10/25/85,1447/191
,Edelgard Vetick Boyer,7/29/85,1369/475
,"D.R. Horton, Inc.",8/2/04,8615/422
,Toll MD Limited Partnership,6/24/02,6496/243
,Toll MD Limited Partnership,1/30/02,6001/463
,Toll MD Limited Partnership,1/30/02,6001/463
,Toll MD Limited Partnership,1/30/02,6001/463
,The Howard Research and Development Land Company,8/16/89,2088/079
,The Howard Research and Development Land Company,8/16/89,2088/079
,The Howard Research and Development Land Company,8/16/89,2088/079
,The Howard Research and Development Corporation,5/27/87,1659/085
,The Howard Research & Development Land Company,12/11/86,1672/566
,The Howard Research & Development Land Company,12/11/86,1672/566
,"Mario F. Mannarelli, Sr. and Mario F. Mannarelli, Jr.",4/4/01,5933/117
,"TSC Route 32, L.L.C.",7/25/13,15118/113
,"M/I Homes of DC, LLC",9/29/14,15941/363
,"M/I Homes of DC, LLC",9/29/14,15941/363
,BV Business Trust,4/8/09,"11869/83, 12445/5"
,Walnut Grove Holding. LLC and Karin Marie Van Dyke,4/13/07,10990/217
,Walnut Grove Holding. LLC and Karin Marie Van Dyke,4/13/07,10990/217
,Walnut Grove Holding. LLC and Karin Marie Van Dyke,4/13/07,10990/217
,"Walter E. Brown, Jr. and Laverne E. Brown",6/30/05,9666/666
,"W R Davis Properties, LLC",11/30/12,14649/443
,N/A,,N/A
,N/A,,N/A
,Maple Hill Joint Venture,6/1/92,2643/218
,"Maple Hill Joint Venture, et al",9/26/83,1218/314
,"Maple Hill Joint Venture, et al",9/26/83,1218/314
,Janet W. Phelps,12/1/86,1562/66
,"Columbia Builders, Inc.",7/11/02,6291/508
,N/A,,N/A
,N/A,,N/A
,Waterloo Heights Limited Partnership,5/6/83,1158/416
,Thomas R. & Elsie F. Scott,3/20/83,1338/505
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,"The Society for the Preservation of Maryland Antiquities, Inc.",9/15/89,2056/047
,"Morsberger,LLC",6/18/10,12926/182
,"Morsberger,LLC",6/18/10,12926/182
,N/A,,N/A
,GTW Joint Venture,11/18/99,4951/438
,Security Development Corporation,8/2/89,2075/36
,N/A,,N/A
,N/A,,N/A
,"West Friendship Volunteer Department , Inc.",6/22/09,11904/140
,N/A,,N/A
,Shirley W. Pendleton,,N/A
,Shirley W. Pendleton,12/18/97,4167/116
,"Opus East, L.L.C.",6/17/96,3759/211
,Harry M. & Edith R. Crue,11/6/89,2088/445
,"Connelly, John G. et al T/A The Friendship Company",5/7/73,635/333
,John E. & Gail C.  Raber,5/7/73,635/331
,Howard Research and Development Corporation,6/25/99,4886/428
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,"Stephen N. Jones, Cyrus G. Malberg, et al",9/22/77,"847/602, 2220/32"
,Gordon E. Jenkins and Margaret A. Jenkins,1/2/79,931/512
,Gordon E. Jenkins and Margaret A. Jenkins,1/2/79,931/512
,Gordon E. Jenkins and Margaret A. Jenkins,1/2/79,931/512
,Gordon E. Jenkins and Margaret A. Jenkins,1/2/79,931/512
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,N/A,,N/A
,John Harvey Gray & Penny Rose Gray,3/6/98,4241/663
,Robert Cooney and Robin Cooney,9/30/97,4098/606
,Ellen Luria,7/19/96,3800/272
,Kenneth Glenn Allen & Joanne Allen,6/22/96,3786/065
,"Cindy S Koontz, et al",5/12/94,3259/636
,Rectory Ridge Partnership,11/21/95,3646/500
,State Highway Administration,12/17/14,15981/336
,State Highway Administration,,N/A
,Michael L. Pfau,1/3/02,5933/147
,"Willowodd Homeowners Association, Inc.",1/28/10,12316/283
,"Willowood Homeowners Association, Inc.",1/28/10,12316/283
,"Trafalgar House Property, Inc.",3/13/03,7563/241
,"Trafalgar House Property, Inc.",3/13/03,7563/241
,"Trafalgar House Property, Inc.",3/13/03,7563/241
,Security Development Corporation,12/9/97,4167/094
,Security Development Corporation,12/9/97,4167/094
,Security Development Corporation,12/9/97,4167/094
,Security Development Corporation,10/10/97,4115/681
,Trafalgar House Property Inc.,8/6/97,4167/110
,"Trafalgar House Property, Inc.",4/22/97,3966/499
,"Trafalgar House Property, Inc.",4/22/97,3966/499
,"Trafalgar House Property, Inc.",6/6/94,3646/541
,"Capital Homes, Inc.",2/2/89,1948/478
,"Capital Homes, Inc.",2/2/89,1948/478
,"Sanrock, Inc.",8/2/99,4936/156
,"Sanrock, Inc.",8/2/99,4936/156
,"Santock, Inc.",5/27/99,4765/348
,"Sanrock, Inc.",5/27/99,4765/348
,"Windy Knolls, L.L.C.",10/1/99,4920/046
,"Windy Knolls, L.L.C.",10/1/99,4920/046
,"SDC Group, Inc.",3/20/98,4272/041
,"SDC Group, Inc.",3/20/98,4272/041
,Winterbrook Limited Partnership,12/24/98,4620/001
,Winterbrook Limited Partnership,12/24/98,4620/001
,"Chateau Homes, Inc.",11/13/89,2083/613
,Security Development Corporation,2/26/96,3679/001
,William F. Whipps & Helen S. Whipps,7/26/89,2031/639
,"Chateau Homes, Inc.",4/4/08,11274/363
,"Chateau Homes, Inc.",4/4/08,11274/363
,"Thomas H. Powell, Jr., Patricia Ann Merz and Woodford Joint Venture",6/14/02,6266/308
,"Thomas H. Powell, Jr., Patricia Ann Merz and Woodford Joint Venture",6/14/02,6266/308
,"Thomas H. Powell, Jr., Patricia Ann Merz and Woodford Joint Venture",6/14/02,6266/308
,"Thomas H. Powell, Jr. and Patricia Ann Merz",12/28/00,5454/260
,"Thomas H. Powell, Jr. and Patricia Ann Merz",12/28/00,5454/260
,"Thomas H. Powell, Jr. and Patricia Ann Merz",12/28/00,5454/260
,"Chateau Woodland, Inc.",6/25/84,1289/587
,"Chateau Woodland, Inc.",6/25/84,1268/112
,"Chateau Woodland, Inc.",6/22/83,1175/297
,"James King, Sr., et al",3/11/83,1162/628
,"Harmony Builders, Inc.",6/23/06,10126/184
,Meadowland Joint Venture,5/9/89,2016/424
,Meadowland Joint Venture,5/9/89,2016/424
,Meadowland Joint Venture,7/29/88,1993/279
,Meadowland Joint Venture,7/27/87,1694/429
,Meadowland Joint Venture,7/27/87,1694/429
,Meadowland Joint Venture,7/27/87,1694/429
,"Trails, Inc.",2/19/97,3931/650
,"Trails, Inc.",2/19/97,3931/650
,"Trails, Inc.",5/8/96,3742/562
,"Trails, Inc.",5/8/96,3742/562
,"Trails, Inc.",5/8/96,3742/562
,"Trails, Inc.",5/8/96,3742/562
,"Trails, Inc.",5/8/96,3742/562
,"Trinity Quality Homes, Inc.",8/22/03,8159/590
,Theodore M. Nelson and Patricia M. Nelson,12/2/03,8159/096
,"Mary Wurtzer Oulliber, Augustus Stephen Wurtzer and Trinity Homes at Woods of Tiber Branch II, LLC",10/6/07,"10975/111, 11000/266"
,"Mary Wurtzer Oulliber, Augustus Stephen Wurtzer and Trinity Homes at Woods of Tiber Branch II, LLC",10/6/07,"10975/111, 11000/266"
,"Mary Wurtzer Oulliber, Augustus Stephen Wurtzer and Trinity Homes at Woods of Tiber Branch II, LLC",10/6/07,"10975/111, 11000/266"
,"Howard County Conservancy, Inc.",9/21/93,2993/227
,"Richard W. Kanode, sole surviving trustee of Worthington Construction Company",10/26/04,8866/295
,Taylor Family Limited Partnership B,1/3/02,5947/0010
,Taylor Family Limited Partnership B,8/22/07,11144/456
,Taylor Family Limited Partnership B,8/22/07,11144/456
,George W. Carr,1/13/44,180/339
,"SDC Group, Inc.",12/6/01,6222/050
,"SDC Group, Inc.",12/6/01,6222/050
,"SDC Group, Inc.",12/6/01,6222/050
,"SDC Group, Inc.",4/21/97,3966/506 & 4040/415
,"SDC Group, Inc.",4/21/97,3966/512
,J.J.M. Inc.,1/7/98,4187/586
,J.J.M. Inc.,1/7/98,4187/586
,J.J.M. Inc.,1/7/98,4187/586
,Security Development Corporation,2/5/96,3679/009
,Security Development Corporation,2/5/96,3679/009
,"Ellicott City Land Holding, Inc.",1/3/02,6158/519
,Patricia Arlene Collins of the Grace E. Zirn Trust,,N/A
,Patricia Arlene Collins of the Grace E. Zirn Trust,12/21/11,13762/407
,Patricia Arlene Collins of the Grace E. Zirn Trust,9/24/10,12839/28
,Patricia Arlene Collins of the Grace E. Zirn Trust,9/24/10,12839/28
